userid,itemid,rating,timestamp
1,74,1,889751736
2,314,1,888980085
3,318,4,889237482
4,294,5,892004409
5,453,1,879198898
6,465,1,883683508
7,654,5,892135347
8,241,4,879362423
9,487,5,886960056
10,294,3,879163524
11,51,4,891906439
12,318,5,879960826
13,916,4,892870589
14,750,3,891014196
15,931,1,879456507
16,404,5,877728417
17,471,2,885272779
18,64,5,880132501
19,692,3,885412840
20,94,2,879669954
21,590,1,874951898
22,29,1,878888228
23,315,3,884550320
24,655,5,875323915
25,239,4,885853415
26,9,4,891386369
27,925,3,891543245
28,678,2,882826550
29,182,4,882821989
30,683,3,885941798
31,498,4,881548111
32,1016,1,883718121
33,323,4,891964373
34,289,1,888602950
35,332,4,875459237
36,358,5,882157581
37,265,4,880930072
38,672,3,892434800
39,347,4,891400704
40,754,4,889041790
41,430,5,890692860
42,845,5,881110719
43,316,5,892349752
44,176,5,883613372
45,820,4,881015860
46,181,4,883616254
47,995,3,879440429
48,528,5,879434954
49,403,3,888069636
50,544,4,877052937
51,83,5,883498937
52,204,4,882923012
53,748,2,879443329
54,634,1,892681013
55,89,5,878176398
56,395,3,892911625
57,56,3,883698646
58,191,5,892791893
59,321,4,888206764
60,15,4,883328033
61,678,3,892302309
62,167,2,879376727
63,480,3,875748245
64,227,3,889740880
65,238,3,879218449
66,249,4,883602158
67,7,5,875379794
68,409,3,876974677
69,12,5,882145567
70,408,4,884152129
71,197,5,885016990
72,479,4,880037881
73,246,3,888792938
74,508,4,888333542
75,190,5,884051948
76,582,3,882607444
77,97,2,884753292
78,411,4,879634223
79,370,2,891272016
80,237,4,887401732
81,544,2,876546272
82,834,1,884714618
83,406,2,891182431
84,98,4,883453755
85,316,3,893110061
86,683,5,879570974
87,9,4,879877931
88,1191,5,891038103
89,813,5,879461219
90,385,4,891385899
91,234,5,891439503
92,1023,2,892655775
93,934,3,888705988
94,302,4,891928684
95,78,3,888956901
96,1154,5,884403993
97,663,5,884239791
98,629,5,880499111
99,255,3,888469419
100,905,3,891375630
101,121,4,877137015
102,1052,2,892993983
103,96,4,880422009
104,840,1,888466086
105,264,2,889214491
106,275,4,883877219
107,259,2,891264630
108,931,2,879880190
109,395,3,880583672
110,364,3,886989612
111,344,2,891680243
112,339,4,892439990
113,979,5,875936424
114,156,4,881309662
115,178,5,881172246
116,344,5,892683820
117,410,3,886021458
118,218,5,875385386
119,916,1,892564442
120,827,2,889490979
121,472,3,891390599
122,1168,4,879270902
123,255,1,879873905
124,195,4,890399864
125,1093,1,892839412
126,337,5,887938392
127,62,5,884364950
128,684,4,879969390
129,748,2,883245452
130,272,5,888962577
131,269,5,883681723
132,664,5,891278996
133,243,3,890589035
134,15,5,891732726
135,38,3,879858003
136,525,5,882848925
137,261,5,882805603
138,238,5,879024382
139,127,5,879538578
140,304,4,879013747
141,300,5,887424721
142,42,4,888640489
143,347,5,888407741
144,707,3,888106322
145,347,3,891509921
146,336,5,891458193
147,301,5,885594204
148,993,4,877400154
149,312,1,883512950
150,325,1,878747322
151,966,4,879543457
152,272,5,890322298
153,187,2,881371198
154,187,5,879139096
155,322,2,879371261
156,22,3,888186093
157,407,4,886891218
158,731,2,880135118
159,881,1,893256139
160,328,3,878078096
161,1117,3,891172402
162,710,4,877636860
163,98,4,891220196
164,407,2,889402443
165,187,3,879526046
166,343,4,886397882
167,733,2,892738453
168,225,5,884288304
169,443,4,891359418
170,304,4,887646133
171,344,3,891034889
172,582,4,875538864
173,260,4,877557345
174,13,3,891551777
175,88,4,877108146
176,919,2,886048391
177,92,4,882142295
178,342,4,892239863
179,307,3,892151565
180,961,5,877544384
181,3,2,878963441
182,111,4,885613238
183,222,4,892323453
184,275,5,889913687
185,528,4,883526268
186,477,4,891719775
187,275,5,879465937
188,216,5,875075300
189,150,4,893277702
190,826,3,891626040
191,332,2,891562090
192,1171,2,881368358
193,127,5,890860351
194,1408,1,879555267
195,591,4,892281779
196,94,3,881252172
197,586,3,891410170
198,652,3,884209569
199,473,4,883783005
200,743,3,891825607
201,272,3,886013700
202,191,2,879727294
203,282,1,880434919
204,9,5,892513979
205,316,4,888284710
206,1432,1,888180082
207,182,3,891759050
208,381,3,883108873
209,258,2,883589626
210,72,3,891036310
211,117,4,879461498
212,735,4,879304010
213,176,4,878956338
214,32,4,892668249
215,159,3,891436707
216,315,5,883981859
217,391,4,889070287
218,164,3,881288574
219,906,4,892039575
220,343,3,881198738
221,346,5,885081300
222,407,2,883816411
223,216,5,891550925
224,1208,1,888104554
225,604,5,879540778
226,1117,3,883890262
227,321,3,881518363
228,650,3,889388662
229,896,4,891633029
230,420,5,880485726
231,924,5,888605273
232,150,3,891565095
233,269,5,891920842
234,648,3,892826760
235,462,3,889656168
236,510,3,890118543
237,174,4,879376773
238,1258,1,883576666
239,269,5,889181247
240,349,1,885775878
241,689,3,887250085
242,305,5,879741340
243,157,5,879989217
244,1054,3,880609089
245,240,1,888513860
246,260,5,884924991
247,64,5,893097024
248,405,4,884536165
249,216,4,879641305
250,248,2,883263390
251,472,3,886272585
252,1,5,891456989
253,192,1,891628884
254,258,4,887347560
255,1034,1,883217030
256,765,4,882165328
257,245,4,884151807
258,873,5,885701062
259,39,4,888720644
260,1105,5,890618729
261,125,5,890456142
262,923,4,879962542
263,250,2,891300103
264,1355,4,886124417
265,282,5,875320714
266,9,4,892258004
267,172,5,878974783
268,178,4,876518557
269,191,5,891457067
270,559,5,876956442
271,864,3,886106165
272,12,5,879455254
273,316,4,891293201
274,629,5,878946645
275,423,4,880315322
276,915,4,892436368
277,221,4,879544146
278,98,4,891295360
279,230,4,892865054
280,385,5,891702544
281,989,2,881200789
282,689,2,881703044
283,49,4,879298333
284,938,3,885329821
285,168,4,890595900
286,139,3,889653012
287,100,5,888177364
288,197,5,889225574
289,363,3,876790653
290,1079,2,880732771
291,582,4,875087720
292,1050,4,881105778
293,1044,2,888908117
294,79,4,889854323
295,736,5,879966498
296,209,4,884199625
297,750,5,888643345
298,294,3,884184024
299,916,3,892249868
300,833,4,875650329
301,217,3,882079503
302,266,2,879436981
303,1089,1,879544978
304,294,4,884968415
305,163,3,886325627
306,1514,4,876504614
307,313,5,888095725
308,122,4,887742165
309,324,3,877370419
310,257,5,879436576
311,276,4,884963282
312,835,5,891712535
313,696,3,891032028
314,1291,1,877892519
315,340,4,881017170
316,191,5,880854539
317,260,4,891446887
318,795,2,884498766
319,261,3,889816267
320,433,4,884751730
321,428,4,879441336
322,528,5,887314418
323,467,5,878740017
324,1094,5,880575715
325,1003,3,891480133
326,452,3,879877470
327,1100,4,888251464
328,912,3,893195852
329,245,3,891656640
330,422,4,876547853
331,682,5,877196820
332,728,4,893027298
333,255,3,891045624
334,603,5,891628849
335,260,3,891567159
336,288,3,877760521
337,879,3,875429233
338,175,4,879438762
339,194,4,891037070
340,1133,5,884991742
341,877,3,890758113
342,382,3,875320623
343,357,5,876408139
344,244,3,889814600
345,1023,2,884994658
346,1217,4,886274201
347,404,4,881654846
348,834,4,886523913
349,847,4,879466507
350,195,5,882347832
351,1105,4,883356833
352,7,3,884290549
353,333,4,891402757
354,88,2,891307206
355,242,4,879486529
356,316,4,891406372
357,833,4,878952341
358,318,5,891271063
359,270,4,886453467
360,205,5,880356240
361,333,2,879441490
362,683,1,885019722
363,859,4,891500462
364,875,3,875931585
365,762,4,891304300
366,773,3,888858078
367,443,4,876690119
368,50,4,889783678
369,268,5,889428642
370,209,5,879435461
371,452,2,880435634
372,574,4,876869957
373,1133,3,877112076
374,291,3,885107905
375,1046,2,886622131
376,815,3,879459207
377,234,5,891299078
378,328,3,892382903
379,188,4,892879481
380,229,3,885481179
381,259,2,892698054
382,334,5,876802971
383,480,5,891193242
384,289,5,891283502
385,1103,3,887269178
386,833,3,877655195
387,547,4,886484561
388,678,4,886442062
389,1298,5,887868071
390,283,4,879694316
391,924,2,877400116
392,285,3,891039050
393,302,4,891364609
394,449,3,881132958
395,1060,2,886481149
396,841,4,884646648
397,748,2,889760845
398,227,2,875908666
399,284,2,882512342
400,343,4,885676552
401,50,1,891034050
402,32,3,876267235
403,476,4,879790468
404,66,4,883790883
405,1265,2,885549942
406,543,4,884631010
407,269,3,893081121
408,312,3,889680073
409,285,4,881168712
410,905,4,888627138
411,603,5,892845986
412,436,4,879717649
413,255,3,879969791
414,433,5,884999394
415,641,3,879439960
416,755,4,893214333
417,818,2,886186925
418,327,1,891282836
419,181,4,879435807
420,690,5,891357271
421,427,4,892241735
422,760,3,879744287
423,823,3,891395759
424,151,2,880859722
425,207,2,891986445
426,430,3,879445005
427,937,5,879701326
428,326,3,892572448
429,144,4,882387773
430,514,4,877226568
431,538,4,881127620
432,546,3,889416657
433,919,5,880585923
434,546,5,886725076
435,354,3,889722012
436,1263,3,887772060
437,955,4,881002404
438,476,5,879868664
439,1328,4,882893891
440,921,5,891578264
441,15,3,891035699
442,986,1,883391377
443,644,3,883505465
444,678,3,891979403
445,1143,4,891200870
446,303,2,879787859
447,1046,3,878856602
448,874,3,891889281
449,268,2,880410988
450,749,4,892141807
451,948,3,879012890
452,216,3,888568700
453,575,2,892447163
454,627,2,888267643
455,289,3,892230574
456,286,3,887165765
457,428,5,882553113
458,847,5,889324370
459,186,4,879566321
460,20,4,882912469
461,9,5,885356112
462,271,1,886365928
463,50,4,890530818
464,194,5,878355259
465,395,1,883532120
466,173,3,890285762
467,240,3,879532773
468,226,2,875302208
469,10,5,879525373
470,181,4,879189434
471,71,3,889828154
472,549,5,892791063
473,547,3,878157600
474,221,4,888628044
475,316,5,891627927
476,245,4,883365784
477,546,4,875941972
478,403,2,889398645
479,168,5,889126007
480,642,4,891208822
481,780,1,885829240
482,298,4,887644085
483,743,1,893098548
484,197,4,891195973
485,341,4,891042027
486,100,5,879875465
487,272,5,885322350
488,480,3,891376110
489,892,3,891449532
490,127,5,875428765
491,294,2,891189842
492,527,5,879969879
493,411,1,884132934
494,15,5,879541475
495,86,5,888637768
496,771,2,876073865
497,1555,2,879363780
498,447,3,882205321
499,902,5,892501173
500,242,3,891916883
501,1534,4,883348743
502,890,2,883702945
503,778,5,892667730
504,125,4,889550735
505,692,3,889334583
506,1089,1,889979761
507,826,5,889966127
508,101,5,883777430
509,181,4,883591826
510,881,2,887667838
511,678,2,890005076
512,23,4,888580248
513,435,5,885063304
514,313,5,891900147
515,690,2,887660131
516,191,4,891290685
517,1177,5,892660728
518,595,3,876824266
519,330,5,884545961
520,871,1,885170547
521,2,3,886063310
522,133,3,876961314
523,186,3,883703495
524,410,2,884832742
525,106,2,881086938
526,125,2,885682657
527,202,3,879456691
528,423,1,888522642
529,875,4,882535714
530,1136,4,891568851
531,457,1,887049341
532,11,5,893119491
533,303,4,893160944
534,763,4,877808361
535,515,3,879619224
536,1140,1,882364876
537,550,2,886032246
538,213,3,877364067
539,285,4,879788623
540,280,3,882157797
541,225,4,885595846
542,12,4,886533774
543,252,3,889308778
544,343,2,884796062
545,139,3,884134959
546,145,4,885141502
547,319,4,891282926
548,978,2,891416122
549,1047,3,881672700
550,596,2,883426119
551,1079,1,892785431
552,1095,3,879222738
553,22,5,879949324
554,1028,3,876551044
555,265,3,879975505
556,481,5,882136441
557,1070,2,884357600
558,285,5,879436396
559,502,4,891035946
560,1215,2,879977336
561,304,3,891710572
562,88,5,879196680
563,153,4,880507625
564,257,4,888731011
565,1018,5,891037862
566,110,1,881651813
567,1252,3,882427294
568,638,3,877907877
569,1014,3,879795581
570,321,1,881262795
571,64,4,883355063
572,924,1,879449840
573,216,4,885844674
574,100,5,891279712
575,168,5,878148358
576,324,2,887168978
577,307,3,890089564
578,1098,2,890939753
579,1074,3,880952579
580,151,2,884126077
581,936,3,879643155
582,932,2,882963114
583,357,5,879384575
584,25,3,885778571
585,70,5,891286256
586,3,5,884068767
587,1625,4,892871732
588,67,1,890032343
589,892,4,883352762
590,248,4,879439645
591,856,4,891040366
592,354,4,888553156
593,245,3,888872154
594,269,4,877816219
595,762,4,886922069
596,276,3,883539431
597,118,3,875343067
598,538,4,886711452
599,546,4,880953441
600,759,2,888453145
601,431,4,876351413
602,125,4,888638674
603,216,4,891957139
604,567,5,883668352
605,12,4,881016144
606,1280,2,889137292
607,56,5,883880155
608,658,3,880408150
609,1012,1,886896237
610,66,3,888704000
611,350,4,891636399
612,202,2,875325221
613,471,3,891227410
614,717,4,879465414
615,629,4,879449184
616,355,4,891224881
617,563,1,883789747
618,7,4,891309887
619,562,3,885954341
620,1043,4,889988340
621,333,4,890517503
622,1407,1,882672922
623,210,5,891035112
624,687,2,891961362
625,210,3,892054095
626,272,5,887772871
627,554,2,879531557
628,294,4,880777167
629,381,4,880117852
630,568,4,885668328
631,338,2,888465299
632,258,4,879459777
633,423,4,877212367
634,269,4,890779855
635,117,2,878879284
636,106,4,891449328
637,717,3,882905572
638,523,4,876695917
639,958,4,891241052
640,1228,4,889235993
641,30,4,879370365
642,862,4,892241015
643,262,3,892502480
644,871,4,889077513
645,660,3,892055628
646,1313,3,888529180
647,1263,3,876776321
648,441,3,884883724
649,1244,3,891440676
650,80,2,891389216
651,322,3,880126632
652,125,2,882567383
653,272,4,893275949
654,678,4,888687055
655,1268,3,892914357
656,689,2,892319276
657,118,1,884240732
658,273,4,875148262
659,402,3,891387400
660,106,2,891903867
661,310,2,889500835
662,275,4,880571006
663,187,5,889493869
664,317,3,878095280
665,313,4,884618217
666,649,3,880568694
667,168,3,891035206
668,355,2,890349190
669,531,3,892550310
670,98,2,877975731
671,559,4,884338399
672,1061,4,879789566
673,528,5,888787587
674,111,5,887763336
675,235,1,889490151
676,265,5,892686703
677,91,5,889399671
678,222,3,879544989
679,109,3,884488283
680,248,4,877075312
681,294,5,885409938
682,806,3,888523658
683,588,4,893286584
684,722,2,878762302
685,873,2,879451401
686,181,4,879547337
687,988,3,884652429
688,877,5,884153751
689,328,5,879211479
690,794,3,881180543
691,205,5,875543395
692,1054,3,876954197
693,289,3,889167919
694,179,4,875730980
695,678,4,888806292
696,124,5,886404617
697,1012,1,882622824
698,404,1,886368545
699,749,3,893140897
700,79,3,884494420
701,237,5,891447198
702,449,3,885767775
703,121,5,875243049
704,679,2,891398726
705,196,4,883518903
706,118,3,880997464
707,1024,5,890008041
708,476,3,892719385
709,203,4,879849372
710,265,4,883705484
711,909,4,889911007
712,787,3,876251366
713,307,3,888882311
714,300,5,892778035
715,1045,2,875965171
716,142,3,879797555
717,298,3,884715172
718,751,5,883449953
719,281,3,888897264
720,316,4,891263387
721,111,4,877154765
722,13,2,891281876
723,322,2,880499254
724,242,1,883758268
725,328,4,876106729
726,117,1,890080144
727,826,2,883713738
728,147,4,879443418
729,689,4,893286638
730,742,3,880310553
731,378,1,886187652
732,322,3,882590201
733,245,3,879544466
734,15,4,891026009
735,298,4,876698897
736,127,4,878709365
737,127,5,884315175
738,203,3,892958137
739,187,4,886959115
740,302,5,879523187
741,1152,3,891458597
742,222,2,881336006
743,9,5,881278061
744,628,2,881172357
745,190,5,880123905
746,64,4,885075790
747,672,4,888734152
748,213,3,879455454
749,1089,3,882804586
750,358,3,879446216
751,917,2,892486699
752,1279,3,891208491
753,64,4,891402379
754,744,3,879452073
755,259,3,882570140
756,251,4,875129238
757,1035,2,888469113
758,270,4,889062124
759,471,4,881476969
760,375,4,875669114
761,291,3,876190770
762,709,3,878719594
763,375,2,878923513
764,14,4,876752116
765,42,5,880346975
766,577,3,891310934
767,478,4,891463095
768,255,4,888798611
769,1322,2,885424730
770,937,4,876598016
771,892,5,886640606
772,898,3,889028941
773,59,5,888540617
774,920,2,888559297
775,329,3,891033071
776,648,3,893077100
777,692,5,875980670
778,262,4,891482843
779,252,3,877453656
780,526,5,891364125
781,135,5,879634387
782,1256,2,891500230
783,895,4,884326787
784,678,4,891387895
785,273,3,879439527
786,699,4,882844295
787,1671,1,888980193
788,572,3,880871891
789,111,3,880332400
790,250,5,885158562
791,181,5,879448338
792,544,4,877910822
793,591,4,875104752
794,257,4,891036265
795,217,1,883774317
796,855,3,893279958
797,340,2,879439735
798,690,4,877117972
799,50,4,879254077
800,127,4,887646980
801,358,4,890333094
802,7,5,875986303
803,305,5,880055604
804,288,1,879447476
805,1105,2,884881781
806,231,3,882390614
807,1138,5,893084886
808,313,5,883949986
809,678,2,891037172
810,331,4,891873686
811,678,5,886377686
812,873,4,877625537
813,901,1,883752708
814,145,2,885411749
815,528,5,887978255
816,294,5,891711801
817,831,1,874816007
818,875,1,891870590
819,345,4,884618137
820,748,1,887955223
821,70,4,874793933
822,235,3,891039543
823,333,3,878439845
824,991,3,877021121
825,111,3,892947930
826,1110,4,885690900
827,347,3,892157356
828,70,3,893186210
829,275,4,892312770
830,739,4,892503093
831,591,4,891355004
832,181,3,888260089
833,226,3,887158946
834,15,4,890863052
835,23,4,891035310
836,42,3,885754266
837,717,1,875722393
838,143,5,887067631
839,220,3,875753029
840,1214,1,891211729
841,888,5,889067432
842,886,4,891218459
843,1480,2,879449377
844,216,5,877388183
845,900,3,885409719
846,452,3,883950950
847,79,4,878941588
848,1118,5,887048573
849,676,5,879695896
850,22,5,883195527
851,1013,2,891961856
852,969,5,891037917
853,261,3,879365360
854,56,5,882814571
855,198,4,879825613
856,688,2,891489666
857,20,3,883432688
858,333,4,880933013
859,381,4,885776352
860,257,3,891733877
861,26,3,881274936
862,737,4,879305386
863,909,3,889289619
864,250,3,891044057
865,245,3,880235263
866,321,3,891221302
867,956,4,880079142
868,449,3,877113540
869,1014,4,884493279
870,272,4,890920916
871,1137,3,888193541
872,323,2,888480019
873,258,3,891392818
874,654,5,888633311
875,651,5,876466687
876,48,5,879428481
877,226,3,882678547
878,234,1,880872619
879,282,4,887761865
880,762,4,893028813
881,831,2,879052493
882,393,4,879880132
883,273,4,892557850
884,1018,2,876860514
885,417,3,885716369
886,940,2,876034255
887,1029,5,881381740
888,535,4,879365497
889,1110,3,880182943
890,163,3,883010005
891,281,5,891639920
892,68,4,886611162
893,849,3,874830372
894,902,3,890409704
895,597,2,879438101
896,288,3,887235788
897,1,5,879994113
898,689,3,888294842
899,403,3,884122844
900,31,2,877833995
901,476,5,877289381
902,204,3,879465952
903,98,5,892760784
904,421,5,879735772
905,1011,3,884984382
906,696,4,879435758
907,332,5,885862325
908,434,4,879723128
909,14,4,891920763
910,288,3,884229224
911,727,2,892842738
912,15,4,875967028
913,346,3,883110406
914,402,5,887124376
915,347,5,891031477
916,528,3,880846339
917,476,5,882912385
918,143,4,891988726
919,596,3,885059887
920,268,3,884220163
921,526,4,884673930
922,834,1,891455565
923,174,5,880388872
924,277,3,889286765
925,788,3,884718204
926,245,3,888636270
927,541,5,879199250
928,328,3,880937258
929,419,4,880817844
930,8,3,879535713
931,316,5,891037521
932,357,5,891280138
933,597,1,874939230
934,972,3,891225716
935,120,3,884472942
936,255,5,886833795
937,508,1,876780336
938,122,1,891357190
939,931,2,880262196
940,355,1,889480552
941,1,5,875049144
942,31,5,891283517
943,227,1,888693158
